Memory:,Graphics Card:,CPU:,File Size:,OS:,name
 8 GB, NVIDIA GeForce GTX 960  or Radeon R9 290X, Intel Core i5-4330M  or Ryzen 3 1200, 126 GB, Windows 10,UNCHARTED™: Legacy of Thieves Collection System Requirements
 4 GB, NVIDIA GeForce GTX 1060 , Intel Core i5 750S , 4 GB, Windows 7,Teardown System Requirements
 4 GB, ATI Radeon HD 3870 , Intel Core i3-530 , 27 GB, Windows 7 or higher (32-bit or 64-bit),Black Desert Online System Requirements
 8 GB, NVIDIA GeForce GTX 1050 , Intel Core i5-6600K , 50 GB," 64-bit Windows 7, Windows 8.1 and Windows 10",Battlefield 5 System Requirements
 2 GB, NVIDIA GeForce GTX 460 , Intel Core 2 Duo U7500 , 15 GB, Windows 7 Sp1 - 8 - 8.1 - 10,Assetto Corsa System Requirements
 8 GB, AMD Radeon RX 580 , Intel Core i5-4400E , 20 GB, Windows 10,PROJECT: PLAYTIME System Requirements
8 GB,AMD Radeon HD 7870,Intel Core i5-2400,60 GB,Ubuntu Equivalent Distro,ARK: Survival Evolved System Requirements
8 GB,AMD Radeon HD 5450,Intel Core 2 Quad Q9705,Unknown,Unknown,Project Zomboid System Requirements
 8 GB, AMD Radeon RX 470 , Intel Core i3-4160 , 75 GB, Windows 10 64-bit 1909,Marvel’s Spider-Man: Miles Morales System Requirements
 2 GB, AMD Radeon HD 6570 , Intel Core i3-530 , 16 GB," Windows XP (Service Pack 3 ONLY), Windows Vista, Windows 7, Windows 8, or Windows 10",League of Legends System Requirements
 8 GB, NVIDIA GeForce GTX 550 Ti , Intel Core i3-6300 , 18 GB, Windows 7 Service Pack 1,BeamNG.drive System Requirements
 8 GB, AMD Radeon HD 7750 , Intel Core i3-3220 , 55 GB, 64-bit Windows 7/8.1/10,Star Wars Jedi: Fallen Order System Requirements
 8 GB, AMD Radeon R7 360 , Intel Core i5-2300 , 10 GB, Windows 10,Stray System Requirements
 8 GB, NVIDIA GeForce GTX 970 , Intel Core i3-6100 , 8 GB, Windows 10 64-Bit,Adobe Premiere Pro System Requirements
 4 GB, AMD Radeon HD 5450 , Intel Core 2 Duo Q6867 , 500 MB, XP SP3 or later,Dwarf Fortress System Requirements
 2 GB, ATI Radeon HD 2600 PRO , Intel Core 2 Duo T7600 , 20 GB," Windows XP (SP3), Windows Vista (SP2), Windows 7 (SP1), Windows 8, Windows 8.1, or Windows 10",The Sims 4 System Requirements
 4 GB, NVIDIA GeForce GTX 660 , Intel Core i3-4170 , 60 GB, 64bit OS - Windows 7,theHunter: Call of the Wild System Requirements
4 GB,AMD Radeon HD 7870,Intel Core i3-2120,8 GB,Ubuntu 18.04,Crusader Kings 3 System Requirements
 8 GB, AMD Radeon RX 590 , Intel Core i5-3570K , 20 GB, Windows 10 64-bit,IXION System Requirements
 8 GB, AMD Radeon RX 550 , Intel Core i5-4590 , 14 GB, Windows 10 Home 64 Bit,Predecessor System Requirements
4 GB,Intel HD 4000,Intel Celeron J1800,3 GB,Linux Ubuntu 12.04,Euro Truck Simulator 2 System Requirements
 8 GB, AMD Radeon R7 260X , Intel Core i3-2100T , 50 GB, Windows 8.1 64-bit or Windows 10 64-bit,It Takes Two System Requirements
 8 GB, AMD Radeon HD 7870 , Intel Core i5-2500K , 35 GB, Windows 7 SP1 (x64),Squad System Requirements
 8 GB, AMD Radeon HD 7870 , Intel Core i5-2400 , 55 GB, Windows 7/8.1/10 (64-bit versions),DOOM 2016 System Requirements
 8 GB, AMD Radeon HD 7850 , Intel Core i5-2400 , 40 GB, Windows 10 64-bit,Lego Star Wars The Skywalker Saga System Requirements
 6 GB, NVIDIA GeForce GTX 750 Ti , Intel Core i3-6300 , 30 GB, Windows,Need For Speed Payback System Requirements
 4 GB, Intel HD 4600 , Intel Core i5-4200M , 20 GB," Windows Vista SP2 or newer, 64-bit",Subnautica System Requirements
 4 GB, NVIDIA GeForce GTX 660 , Intel Core i3-2120 , 15 GB, Windows 7,Sons of the Forest System Requirements
6 GB,NVIDIA GeForce GTX 650,Intel Core i3-530,15 GB,"SteamOS, Ubuntu 16.04 (64bit)",Sid Meier’s Civilization 6 System Requirements
 1 GB, AMD Radeon 9500 , Intel Celeron D 430 , 1 GB, Windows 7,Roblox System Requirements
 4 GB, NVIDIA GeForce GTX 750 Ti , Intel Core i3-2100 , 25 GB," Windows 7 SP1 64bit, Windows 8.1 64bit Windows 10 64bit",DARK SOULS III System Requirements
 2 GB, ATI Radeon HD 4870 , Intel Core 2 Quad Q8400 , 30 GB, Windows Vista SP2 or Windows 7 SP1 or Windows 8 (both 32/64bit versions),Assassin's Creed IV Black Flag System Requirements
 8 GB, AMD Radeon R9 270X , Intel Core i5-4460 , 40 GB, Windows 10 64 bit,Anno 1800 System Requirements
 4 GB, NVIDIA GeForce 6800 , Intel Pentium D 805 , 16 GB, Windows XP / Vista / 7 / 8 / 10,World of Tanks System Requirements
4 GB,NVIDIA GeForce GTX 460,Intel Core i5-650,10 GB,64-bit Ubuntu 12.04 or 14.04 or Steam OS,Metro: Last Light Redux System Requirements
 8 GB, NVIDIA GeForce GTX 1660 , Intel Core i5-6600K , 150 GB, Windows 10,GTA 6 System Requirements
 4 GB, NVIDIA GeForce GTX 960 , Intel Core i3-2120 , 2 GB, Windows 10 64-Bit,Adobe Lightroom System Requirements
 4 GB, ATI Radeon HD 3870 , Intel Core 2 Duo Q6867 , 30 GB, Windows 8 32-bit,Battlefield 4 System Requirements
 6 GB, AMD Radeon HD 7850 , Intel Core i3-4130 , 30 GB, 64-bit Windows 7 or later,Need for Speed (2015) System Requirements
 6 GB, AMD Radeon HD 7870 , Intel Core i5-750 , 45 GB," Win 7 SP1, Win 8.1 (64-bit Operating System Required)",Batman: Arkham Knight System Requirements
 8 GB, AMD Radeon RX 550 , AMD FX-6100 , 23 GB, Windows 10 (64-bit),Monster Hunter Rise System Requirements
 8 GB, NVIDIA GeForce GTX 660 , Intel Core i5-2500K , 80 GB, Windows 10 64-Bit,Hitman 3 System Requirements
 12 GB, AMD Radeon R9 380 , Intel Core i5-6600 , 30 GB, Windows10 64bit,Hell Let Loose System Requirements
8 GB,AMD Radeon R9 380,Intel Core i5-4440,Unknown,Ubuntu 20,Metro Exodus System Requirements
 4 GB, NVIDIA GeForce 8500 GT , Intel Core 2 Duo E6700 , 15 GB," Windows XP, Windows Vista and Windows 7",Far Cry 3 System Requirements
 6 GB, NVIDIA GeForce GTX 660 , Intel Core i5-2550K , 50 GB, Windows 10 64-bit,Mafia: Definitive Edition System Requirements
