Memory:,Graphics Card:,CPU:,File Size:,OS:,name
 512 MB, NVIDIA GeForce GTX 280 , Intel Core 2 Duo U7600 , 512 MB, windows 7,Alchemy of Castle System Requirements
 4 GB, NVIDIA GeForce GTX 970 , Intel Core i5-6600K , 1 GB," Windows 7, 8, 8.1, 10",ICED VR System Requirements
 4 GB, NVIDIA GeForce 510 , Intel Core 2 Duo E8400 , Unknown, Windows 7+,SimplyTrivia System Requirements
 2 GB, Intel HD 3000 , Intel Pentium 4 2.00GHz , 2 GB, Windows 8 or Newer,Cubekiller System Requirements
 512 MB, ATI FireGL T2-128 , Intel Pentium 4 2.00GHz , 400 MB, ,灵文西游 System Requirements
 400 MB, ATI FireGL T2-128 , Intel Pentium 4 2.00GHz , 200 MB, Windows 10,AeroChopper System Requirements
 512 MB, Intel Media Accelerator 500 , Intel Core 2 Duo Q6867 , 500 MB, Microsoft Windows XP/Vista/7/8/10,Reignman（掌控者） System Requirements
 4 GB, AMD Radeon R7 250 , Intel Core i5-3350P , 128 MB, Windows 7/8,Negative World System Requirements
8 GB,AMD Radeon HD 5450,Intel Core 2 Duo Q6867,2 GB,Ubuntu 18.04+,Hotel Magnate System Requirements
 2 GB, NVIDIA GeForce GTX 470 , Intel Core 2 Quad Q9705 , 2 GB, Windows XP/Vista/7/8/8.1/10 x64,Questery System Requirements
 4 GB, NVIDIA GeForce GTX 970 , Intel Core i5-4590 , 2 GB," Windows 7 SP1, Windows 8.1 or later, Windows 10",Google Spotlight Stories: Back to the Moon System Requirements
2 GB,ATI FireMV 2400 PCIe,Intel Pentium 4 2.00GHz,3 GB,64-bit Linux OS,Out of the Park Baseball 20 System Requirements
 1 GB, Intel HD 4000 , Intel Pentium 4 2.00GHz , 100 MB, Windows XP+,Infinite Survival System Requirements
 4 GB, NVIDIA GeForce 510 , Intel Core 2 Duo E8400 , Unknown, Unknown,DORIFTO  CHALLENGE System Requirements
 4 GB, NVIDIA GeForce 510 , Intel Core i5-4400E , 800 MB, Windows 7 or newer,Bane of Asphodel System Requirements
 2 GB, ATI Radeon HD 3870 , Intel Core 2 Duo Q6867 , 150 MB, Windows 7 32-bit,Geeste System Requirements
 512 MB, ATI FireGL T2-128 , Intel Pentium 4 2.00GHz , 200 MB, Windows XP/Vista/7/10 (32- or 64-bit),Circles of hell System Requirements
 2 GB, NVIDIA GeForce 510 , Intel Pentium 4 1.50GHz , 180 MB, Windows XP,Zombie Derby System Requirements
 4 GB, AMD Radeon HD 6750 , Intel Core 2 Duo T7250 , 300 MB, Unknown,Electronic Piano System Requirements
 4 GB, NVIDIA GeForce 510 , Intel Pentium 4 2.00GHz , 54 MB, XP XP,EMMA The Story System Requirements
 1 GB, AMD Radeon HD 6750 , Intel Core 2 Duo T7250 , Unknown, Windows 7,Circuit Loops System Requirements
 2 GB, AMD Radeon HD 6750 , Intel Core 2 Duo Q6867 , 150 MB, Windows 7,Piano Play 3D System Requirements
 2 GB, ATI FireMV 2400 PCIe , Intel Pentium 4 2.00GHz , 200 MB, Windows7 or greater,Hero Go System Requirements
 8 GB, ATI FireGL T2-128 , Intel Core 2 Duo Q6867 , 2 GB, Windows 7 x64 or higher,SPACE HUNT System Requirements
 2 GB, NVIDIA GeForce GTX 970 , Intel Core i5-4590 , 4 GB," Windows 7 SP1, Windows 8.1, or Windows 10",Hovercraft Drive System Requirements
 10 GB, NVIDIA GeForce GTX 1060 , Intel Core i5-4400E , 600 MB, Windows 7 or later,Maxi Pool Masters VR System Requirements
 4 GB, ATI FireGL T2-128 , Intel Pentium 4 2.00GHz , 500 MB, Windows 7 ; Windows 10,KeyBoard Guitar Master System Requirements
 2 GB, ATI FireGL T2-128 , Intel Pentium 4 2.00GHz , 20 MB," Windows XP, Vista, 7, 8, or 10",Doors Quest Demo System Requirements
 4 GB, NVIDIA GeForce GTX 970 , Intel Core i5-4400E , 1.56 GB, Windows 7 or higher,Conveyor VR System Requirements
 512 MB, NVIDIA GeForce 6200 , Intel Pentium 4 2.00GHz , 100 MB, Microsoft® Windows® XP / Vista / 7,Pixel Beef Battle System Requirements
 4 GB, NVIDIA GeForce GTX 1050 Ti , Intel Core 2 Quad Q9705 , 5 GB, Windows Windows 7 (or newer),Unconventional Warfare System Requirements
 512 MB, NVIDIA GeForce 510 , Intel Pentium 4 1.70GHz , 500 MB, Windows XP SP1,Brother Perro System Requirements
 2 GB, NVIDIA GeForce 510 , Intel Core 2 Duo Q6867 , 800 MB, Windows 7/8/8.1/10,Space Pilgrim Academy: Year 2 System Requirements
 512 MB, ATI FireGL T2-128 , Intel Pentium 4 1.50GHz , 1 GB, 7,The Cabinets of Doctor Arcana System Requirements
 512 MB, ATI FireGL T2-128 , Intel Core i3-2340UE , 1 GB, windows 7,Fun Hospital System Requirements
 2 GB, ATI FireGL T2-128 , Intel Pentium 4 2.00GHz , 1 GB," Windows 7, 8/8.1, 10",Project Myriad System Requirements
1 GB,NVIDIA GeForce 205,Intel Atom Z510,200 MB,with support OpenGL 3.3 or better,OS:Path System Requirements
 2 GB, Intel HD 4000 , Intel Core 2 Duo Q6867 , 1 GB," Windows 10 64 Bit, Windows 8.1 64 Bit, Windows 8 64 Bit, Windows 7 64 Bit Service Pack 1",Nicky - The Home Alone Golf Ball System Requirements
 1 GB, NVIDIA GeForce 7200 GS , Intel Core 2 Duo Q6867 , 500 MB, Windows 7,Kitten Life Simulator System Requirements
 1 GB, ATI FireGL T2-128 , Intel Pentium 4 2.00GHz , 100 MB, Windows 7 or later,Morning Never Comes System Requirements
 4 GB, Intel HD 5000 , Intel Core i3-2340UE , 600 MB, Windows 7 or newer,Kaze and the Wild Masks System Requirements
 1 GB, NVIDIA GeForce 9600 GT , Intel Pentium 4 2.00GHz , 50 MB, Windows XP and newer,bomber-un System Requirements
2 GB,ATI FireMV 2400 PCIe,Intel Pentium 4 2.00GHz,300 MB,Any,Craft and Dungeon System Requirements
 512 MB, ATI FireMV 2200 PCIe , Intel Pentium 4 2.00GHz , 400 MB, Windows 7+,Extreme Dash: Reloaded System Requirements
 3 GB, Intel Media Accelerator 500 , Intel Pentium 4 1.60GHz , 2 GB, Windows XP/Windows Vista/Windows 7/8/10,Burst Into System Requirements
512 MB,ATI FireGL T2-128,Intel Pentium 4 1300MHz,400 MB,x86/x86_64,AIdol System Requirements
 50 MB, ATI FireGL T2-128 , Intel Pentium 4 4.00GHz , Unknown," Windows XP, Vista, 7, 8 and Windows 10",Bounty Hunter: Ocean Diver System Requirements
1 GB,NVIDIA GeForce 7100 / nForce 630i,Intel Pentium 4 2.00GHz,500 MB,"Ubuntu 12.04+, SteamOS+",Finger Jets System Requirements
 8 GB, NVIDIA GeForce GTX 970 , Intel Core i5-4590 , 4 GB, WIndows 7,OVERTURN: Final Operation System Requirements
 4 GB, Intel HD 5500 , Intel Core i5-5200U , 5 GB, Windows 8/10,The Blobs Fight System Requirements
 512 MB, ATI FireGL V7350 , Intel Atom Z515 , 80 MB, Windows 8,MazeBot System Requirements
 4 GB, ATI FireGL T2-128 , Intel Core Duo U2500 , 1 GB," Windows 7,8,10",Achievement Lurker: You are going to have to work hard for these nuts System Requirements
2 GB,NVIDIA GeForce 7200 GS,Intel Core 2 Duo Q6867,1 GB,"Ubuntu 10.10+, SteamOS+",Drowning System Requirements
 1 GB, NVIDIA GeForce 510 , Intel Core 2 Duo Q6867 , 100 MB, Windows 7,Nogalious System Requirements
 2 GB, Intel HD 630 , Intel Pentium 4 1.50GHz , 200 MB, 7,Vadine: Bite-Man System Requirements
 4 GB, NVIDIA GeForce 510 , Intel Core 2 Duo E8400 , Unknown," 8, 10",Zombie Apocalypse Survivor System Requirements
 512 MB, NVIDIA GeForce 7100 / nForce 630i , Intel Pentium 4 2.00GHz , 200 MB, Windows Vista or newer,Light Borrower System Requirements
2 GB,ATI FireGL T2-128,Intel Pentium 4 2.00GHz,2 GB,Ubuntu 12.04 LTS,Monster Crown System Requirements
 8 GB, NVIDIA GeForce GT 1030 , Intel Core i5-4400E , 1 GB, Windows 7 or Higher,Hit The Hive System Requirements
 2 GB, ATI FireGL T2-128 , Intel Pentium 4 2.00GHz , 300 MB," Windows 7, 8.1, 10",aMAZE Frozen System Requirements
 512 MB, NVIDIA GeForce 210 , Intel Pentium 4 1.50GHz , 300 MB, Windows xp sp3,Blonde Driver System Requirements
2 GB,NVIDIA GeForce 205,Intel Core 2 Duo Q6867,800 MB,Ubuntu 12.04+,Howlville: The Dark Past System Requirements
2 GB,NVIDIA GeForce 9600 GS,Intel Core 2 Duo Q6867,3 GB,Unknown,My Golf System Requirements
512 MB,NVIDIA GeForce 510,Intel Core 2 Duo E8400,2 GB,1GHz,The Stroke of Midnight System Requirements
 4 GB, NVIDIA GeForce 510 , Intel Pentium 4 2.00GHz , 128 MB," Windows 7, 8, 10",Artipic System Requirements
 8 GB, NVIDIA GeForce GTX 970 , Intel Core i5-4590 , 2 GB, Windows 7 SP1 or newer,Turbo Soccer VR System Requirements
1 GB,NVIDIA GeForce 510,Intel Celeron 1000M,480 MB,x86 or compatible processor,Paper Shakespeare RPG: Saga of the Five Kingdoms System Requirements
 4 GB, AMD Radeon HD 5450 , Intel Core 2 Duo E6600 , 250 MB, Windows® 10/8/7/Vista/XP,Dumb As Wizards System Requirements
 2 GB, ATI FireMV 2400 PCIe , Intel Pentium 4 2.00GHz , 1 GB," Windows XP, Vista, 7, 8, 10",Alice - Behind the Mirror System Requirements
1 GB,NVIDIA GeForce GT 720,Intel Pentium 4 2.00GHz,210 MB,Unknown,Time Tenshi Paradox: Episode 2 System Requirements
 512 MB, ATI FireGL T2-128 , Intel Pentium 4 2.00GHz , 500 MB, Windows 10,Crimson Shift System Requirements
 2 GB, NVIDIA GeForce 6800 , AMD Athlon 64 3500+ , 2 GB, Windows XP/VISTA/7/8/10,Operation Thunderstorm System Requirements
 4 GB, AMD Radeon HD 6250 , Intel Core 2 Duo Q6867 , 1 GB," WindowsR 7/8/8.1/10 (32bit/64bit),  Ubuntu 12.04 LTS or newer. SteamOS, OS X version 10.7 (Lion), or later",MonsterxMan: Inheritence To Lust System Requirements
 4 GB, ATI Radeon HD 4850 , Intel Core i3-2100T , 600 MB, Windows Vista 32-bit newer,Mad Carnage System Requirements
 512 MB, NVIDIA GeForce 6200 , Intel Pentium 4 2.00GHz , 200 MB, Windows XP/7/8/8.1/10,Food From The Sky System Requirements
 2 GB, AMD Radeon HD 6750 , Intel Core 2 Duo Q6867 , 500 MB, Windows 7 and newer,Galaxy Ball System Requirements
 2 GB, NVIDIA GeForce 6800 , AMD Athlon 64 3500+ , 400 MB, Windows XP/VISTA/7/8/10,Chronicles of Mystery - Secret of the Lost Kingdom System Requirements
 1 GB, NVIDIA GeForce 510 , Intel Pentium 4 2.00GHz , 966 MB, Windows XP/Windows Vista/Windows 7/Windows 8/Windows 10,Mystery Tales: Alaskan Wild Collector's Edition System Requirements
 4 GB, NVIDIA GeForce GTX 970 , Intel Core i5-4590 , 2 GB," Windows 7 SP1, Windows 8.1 or later or Windows 10",The Rig System Requirements
 4 GB, NVIDIA GeForce GTX 970 , Intel Core i5-4590 , 1 GB, Windows 7 SP1、Windows 8.1 以降、Windows 10,HomestarVR System Requirements
 1 GB, ATI FireGL T2-128 , Intel Pentium III 1400 @ 1400MHz , 1 GB," Windows XP, Vista, 7, 8, 10",三国英雄列传 (Legendary Heros in the Three Kingdoms) System Requirements
 1 GB, ATI FireMV 2400 PCIe , Intel Pentium 4 2.00GHz , 200 MB, Windows Vista or greater,The Legend of Evil System Requirements
2 GB,ATI FireGL T2-128,Intel Core 2 Duo Q6867,256 MB,"Ubuntu 12.04+, SteamOS+",Good Doggo System Requirements
 2 GB, AMD Radeon HD 6250 , Intel Core 2 Duo Q6867 , 605 MB, Windows XP or later,Lenin - The Lion System Requirements
 1 GB, ATI FireGL T2-128 , Intel Pentium 4 1.40GHz , 493 MB, Windows XP/Windows Vista/Windows 7/Windows 8/Windows/10,Mosaic: Game of Gods II System Requirements
 2 GB, Intel Media Accelerator 500 , Intel Pentium 4 1.70GHz , 300 MB, Windows 10,Chicken ~Boiled Egg~ System Requirements
 4 GB, ATI Radeon HD 5770 , Intel Core 2 Duo E4700 , 5 GB," Windows® 7, 64-bit",Mansions of Madness: Mother's Embrace System Requirements
 4 GB, AMD Radeon HD 6250 , Intel Core 2 Duo E8600 , 2 GB, Windows7 Windows10,INSECT HAZARD System Requirements
 512 MB, ATI FireGL T2-128 , Intel Pentium 4 2.00GHz , 128 MB, Windows,On Board 4 PC System Requirements
 256 MB, NVIDIA GeForce 510 , Intel Pentium 4 2.00GHz , 200 MB, Windows 7+,Tokavuh Stream Control System Requirements
 1 GB, Intel Media Accelerator 500 , Intel Atom Z515 , 100 MB," xp, Vista, 7, 8, 8.1, 10",Delivery man simulator System Requirements
 8 GB, NVIDIA GeForce GTX 750 Ti , Intel Core i5-4430 , 15 GB," Windows 7, Windows 10",武侠乂 The Swordsmen X System Requirements
 2 GB, NVIDIA GeForce 6100 , Intel Core i3-530 , 280 MB, Windows 7,Pi is Everything System Requirements
4 GB,ATI FireGL V7350,Intel Core 2 Duo Q6867,12 GB,Tested on Ubuntu 18.04,The Beat: A Glam Noir Game System Requirements
 4 GB, NVIDIA GeForce GT 1030 , Intel Core i5-4400E , 300 MB, Windows10,Magic Scroll Tactics / マジックスクロールタクティクス / 魔法卷轴 / 魔法捲軸 System Requirements
 1 GB, ATI FireGL T2-128 , Intel Pentium 4 2.00GHz , 50 MB," Windows XP, Vista, 7, 8, 10",Match Connect Challenge System Requirements
 512 MB, ATI FireGL T2-128 , Intel Core i5-3570K , 512 MB, Windows 7,Drift 4000 System Requirements
 256 MB, Intel Media Accelerator 500 , Intel Pentium 4 1.60GHz , 90 MB, Windows XP/Windows Vista/Windows 7/8/10,Planum System Requirements
 2 GB, NVIDIA GeForce G210 , Intel Pentium 4 2.00GHz , 1 GB, Windows XP / Windows 7,The Front of Greed System Requirements
 8 GB, AMD Radeon R9 270 , Intel Core i3-4170 , 2 GB, Windows 7-64 bit,Battleground Shooting Training 吃鸡枪法训练器 System Requirements
 1 GB, NVIDIA GeForce 7200 GS , Intel Core 2 Duo Q6867 , 160 MB, Windows XP,Bomb Labyrinth System Requirements
 512 MB, Intel HD 4000 , Intel Core 2 Duo Q6867 , 50 MB, Windows 7/8/8.1/10 32/64bit,Hamster Daily System Requirements
 4 GB, AMD Radeon HD 6750 , Intel Core 2 Duo T7250 , 116 MB, Windows 7,Volume Maximizer System Requirements
 2 GB, Intel Media Accelerator 500 , Intel Pentium 4 1.80GHz , 1000 MB," Windows 10, 8, 7, Vista",What Are You Stupid System Requirements
 500 MB, NVIDIA GeForce 7100 / nForce 630i , Intel Pentium 4 2.00GHz , 50 MB, Microsoft Vista SP1+,Shrinking Pains System Requirements
 4 GB, AMD Radeon HD 6750 , Intel Core 2 Duo Q6867 , 400 MB, Windows 7,Electroquest: Resistance is Futile System Requirements
 8 GB, NVIDIA GeForce GTX 660 , Intel Core i5-2400 , 1000 MB, windows 10 64-bit,Bomight System Requirements
 400 MB, ATI FireGL T2-128 , Intel Core 2 Duo Q6867 , 400 MB, Windows 7,Hollow Lane System Requirements
 2 GB, NVIDIA GeForce 7100 / nForce 630i , Intel Core 2 Duo Q6867 , 420 MB, Windows 7 and above,Gun Rage System Requirements
 2 GB, NVIDIA GeForce 7100 / nForce 630i , Intel Core 2 Duo Q6867 , 500 MB, Windows 7 or newer,Mr Rabbit's Memory Game System Requirements
 8 GB, AMD Radeon R7 250 , Intel Core i5-4400E , 1 GB, Windows 7,Garden Paws System Requirements
 8 GB, NVIDIA GeForce GTX 970 , Intel Core i5-4590 , 3 GB, Windows 10,The Technician System Requirements
 2 GB, Intel Media Accelerator 500 , Intel Pentium 4 2.00GHz , 300 MB, Windows 7/8/10 - 64bits,My Car System Requirements
4 GB,NVIDIA GeForce 510,Intel Core 2 Duo E8400,Unknown,Ubuntu 12.04,Silverworld System Requirements
 512 MB, ATI FireMV 2400 PCIe , Intel Pentium 4 2.00GHz , 65 MB, XP,9 Balls System Requirements
 4 GB, AMD Radeon HD 2600 XT , Intel Core 2 Duo Q6867 , 1 GB, Windows 7 or newer,Mythgard System Requirements
 4 GB, NVIDIA GeForce GTX 470 , Intel Core 2 Quad Q9705 , 2.44 GB, Windows /7/8/10,Kama Bullet Heritage 2 System Requirements
 1 GB, ATI Radeon HD 5850 , Intel Core 2 Duo E8400 , 100 MB, Windows 7,Wilmot's Warehouse System Requirements
 2 GB, NVIDIA GeForce 7100 / nForce 630i , Intel Pentium 4 2.00GHz , 348 MB, Windows Vista SP1+,Psycho Squirrels System Requirements
 2 GB, ATI FireGL T2-128 , Intel Celeron G3900 , 4 GB, Windows 7 SP1,7'scarlet System Requirements
 4 GB, AMD Radeon HD 7650M , Intel Core i3-3220 , 635 MB, Windows 7/8/8.1,Flurius System Requirements
1 GB,NVIDIA GeForce 510,Intel Core 2 Duo E6850,500 MB,Unknown,Undead & Beyond System Requirements
 4 GB, NVIDIA GeForce 610M , Intel Core 2 Duo Q6867 , 3 GB," Windows 7, 8, 10.",Krampus is Home System Requirements
 2 GB, ATI FireGL V7350 , Intel Core 2 Duo Q6867 , 4 GB, Win 7/Win 8/Win 10 x64,Signal Simulator System Requirements
 512 MB, AMD Radeon HD 6250 , Intel Core 2 Duo Q6867 , 1 GB, Windows 2007,The story of Gods 七神物语 System Requirements
 2 GB, NVIDIA GeForce 510 , Intel Core i3-2340UE , 700 MB," 7, 8, 10",Melordandek System Requirements
 4 GB, Intel HD Graphics 620 , Intel Pentium 4 2.00GHz , 50 MB, Windows 10,SOK MIN System Requirements
 4 GB, NVIDIA GeForce GTX 660 , Intel Core i5-2500K , 1.46 GB, Windows 7/8/10,Cartonfall System Requirements
 2 GB, NVIDIA GeForce 8500 GT , Intel Core 2 Duo Q6867 , 400 MB, Windows 7\8\10,Russian AYE Horror System Requirements
 4 GB, AMD Radeon HD 5450 , Intel Core i3-2100 , 1 GB, Windows 7 64bit,Mr. Sweet System Requirements
 1 GB, ATI FireGL T2-128 , Intel Pentium 4 1.60GHz , 500 MB," Microsoft Windows Vista, 7, 8, 10 (64-bit)",The Land of the Seazogs System Requirements
 200 MB, ATI FireGL T2-128 , AMD Athlon XP 1500 , 100 MB, Windows 8.1,SpedV System Requirements
 64 MB, NVIDIA GeForce 510 , Intel Core 2 Duo E8400 , 1 MB," Windows XP, 7, 8, 10",Penny Black System Requirements
 1 GB, NVIDIA GeForce 510 , Intel Core 2 Duo E8400 , Unknown, Unknown,Nine-Slicer System Requirements
 6 GB, NVIDIA GeForce GT 750M , Intel Core i5 750S , 4 GB, Windows 7,Paradox of the Cryptomancers System Requirements
512 MB,Intel Media Accelerator 500,Intel Core i5-4400E,300 MB,Ubuntu 12.04+,Snowball Saves Summer System Requirements
 2 GB, ATI FireGL V7350 , Intel Pentium 4 4.00GHz , 250 MB, Windows 7 and above,DRAW CHILLY System Requirements
 4 GB, NVIDIA GeForce GTX 970 , Intel Core i5-4590 , 210 MB," Windows 7 SP1, Windows 8.1 or later, Windows 10",Galaxy Ball Defender System Requirements
 4 GB, ATI FireGL T2-128 , Intel Pentium 4 1.80GHz , 2 GB, Windows XP/Vista 7/8/10,Fasaria World: Ancients of Moons System Requirements
 4 GB, NVIDIA GeForce GTX 970 , Intel Core i5-4590 , 1 GB, Windows 7 SP1 64 bit or newer,Jigsaw 360 System Requirements
 4 GB, NVIDIA GeForce GTX 260 , Intel Core 2 Duo Q6867 , 2 GB, Windows XP Service Pack 3,Mad Frost System Requirements
 8 GB, NVIDIA GeForce GTX 750 Ti , Intel Core i5-4570S , 3 GB, Windows 7 Professional 64-bit,Alternate Jake Hunter: DAEDALUS The Awakening of Golden Jazz / ダイダロス：ジ・アウェイクニング・オブ・ゴールデンジャズ / Prequel Story of Detective Saburo Jinguji Daedalus: The Awakening of Golden Jazz System Requirements
 1 GB, ATI FireMV 2400 PCIe , Intel Pentium 4 4.00GHz , 5 GB, Windows 7/8/10,Viking Brothers 3 System Requirements
 8 GB, NVIDIA GeForce GTX 970 , Intel Pentium 4 2.00GHz , 4 GB, Window 7 64bit,Dead GroundZ System Requirements
 1 GB, NVIDIA GeForce 7200 GS , Intel Pentium 4 4.00GHz , 3 GB, Windows 7/8/10,Viking Brothers 4 System Requirements
 1 GB, NVIDIA GeForce 7200 GS , Intel Pentium 4 4.00GHz , 2 GB, Windows 7/8/10,Viking Brothers 2 System Requirements
 512 MB, Intel HD 2000 , Intel Pentium 4 4.00GHz , 120 MB, Microsoft Windows XP,月夜下的紅茶杯 ~ Blacktea With Moon System Requirements
 2 GB, ATI FireMV 2400 PCIe , Intel Core 2 Duo Q6867 , 2 GB, Windows XP (SP3),Mage Fort System Requirements
 2 GB, ATI FireGL T2-128 , Intel Atom Z515 , 1 GB, WIN7/WIN10,恋爱模拟器 Love Simulation System Requirements
 8 GB, NVIDIA GeForce GTX 970 , Intel Core i5-4590 , Unknown, Windows 7/8/8.1/10 (64 bit),Etherian System Requirements
2 GB,Intel HD 3000,Intel Pentium 4 2.00GHz,2 GB,Ubuntu 16.04+ or equivalent (64-bit only),Heaven Will Be Mine System Requirements
 4 GB, NVIDIA GeForce 7100 / nForce 630i , Intel Pentium 4 2.00GHz , 500 MB, Windows Vista SP1+,Real Winners: Victoryball System Requirements
2 GB,ATI FireGL T2-128,Intel Atom Z510,100 MB,Kernel 3.0+,Endhall System Requirements
512 MB,ATI FireGL T2-128,Intel Core 2 Duo Q6867,70 MB,Ubuntu 14.04 & Steam OS,Eon Fleet System Requirements
 512 MB, ATI FireGL T2-128 , Intel Pentium 4 2.00GHz , 155 MB," Win XP(SP3)/Vista/7/8/10, 32 or 64 bit",Little Marisa's Disaster Journey System Requirements
8 GB,NVIDIA GeForce GTX 860M,Intel Core i7-4710HQ,3 GB,Linux Mint 18,Secret of Harrow Manor System Requirements
 1 GB, NVIDIA GeForce 510 , Intel Pentium 4 2.00GHz , 907 MB, Windows XP/Windows Vista/Windows 7/Windows 8,Haunted Legends: The Stone Guest Collector's Edition System Requirements
 8 GB, NVIDIA GeForce GTX 970 , Intel Core i5-4590 , 3 GB, 10,Warzone VR System Requirements
 1 GB, NVIDIA GeForce 510 , Intel Pentium 4 1.40GHz , 499 MB, Windows XP/Windows Vista/Windows 7/Windows 8,Shadow Wolf Mysteries: Cursed Wedding Collector's Edition System Requirements
 2 GB, AMD Radeon R7 250 , Intel Core i3-4160 , 15 GB, Windows 7 (64 bit),The Devil's Garden System Requirements
 1 GB, NVIDIA GeForce 510 , Intel Pentium 4 2.53GHz , 1.52 GB, Windows XP/Windows Vista/Windows 7/Windows 8,Dark Dimensions: Somber Song Collector's Edition System Requirements
 4 GB, NVIDIA GeForce 9800 GTX+ , Intel Core 2 Duo Q6867 , 1 GB, Windows 7,Unleashed System Requirements
 1 GB, NVIDIA GeForce 510 , Intel Pentium 4 2.00GHz , 881 MB, Windows XP/Windows Vista/Windows 7/Windows 8,Final Cut: The True Escapade Collector's Edition System Requirements
512 MB,NVIDIA GeForce 6200,Intel Pentium 4 2.00GHz,2 GB,Ubuntu 12.04+ or SteamOS,My Super Tower 3 System Requirements
 512 MB, NVIDIA GeForce 510 , Intel Pentium 4 2.00GHz , 133 MB, Windows XP/Windows Vista/Windows 7/Windows 8,Azada: Ancient Magic System Requirements
 1 GB, NVIDIA GeForce 510 , Intel Pentium 4 4.00GHz , 908 MB, Windows XP/Windows Vista/Windows 7/Windows 8,Grim Tales: The Stone Queen Collector's Edition System Requirements
4 GB,NVIDIA GeForce 7100 / nForce 630i,Intel Pentium 4 2.00GHz,400 MB,Ubuntu 12.04+,Slappy Ass System Requirements
 8 GB, NVIDIA GeForce GTX 960 , AMD Phenom II X4 955 , 4 GB, Windows 8 or 10,Deadliest Catch: The Game System Requirements
 128 MB, ATI FireGL T2-128 , Intel Pentium 4 1.50GHz , 164 MB, Windows XP/Windows Vista/Windows 7/8/10,City Escaper System Requirements
 1 GB, ATI FireGL T2-128 , Intel Pentium 4 2.00GHz , 100 MB, Windows Vista (service pack 2),Theorem System Requirements
2 GB,NVIDIA GeForce 510,Intel Core 2 Duo Q6867,400 MB,Ubuntu 14+,Find & Destroy: Tank Strategy System Requirements
 2 GB, NVIDIA GeForce 6800 , AMD Athlon 64 3500+ , 300 MB, Windows XP/VISTA/7/8/10,Chronicles of Mystery - The Legend of the Sacred Treasure System Requirements
 2 GB, ATI FireGL T2-128 , Intel Core i3-2340UE , 400 MB, Windows 7 / 8 / 10,Ball Escape System Requirements
 4 GB, NVIDIA GeForce GTX 660 , Intel Core i5-2500 , 4 GB, Windows 7 (64 bit only),The Great Race System Requirements
 4 GB, ATI FireGL T2-128 , Intel Core 2 Duo Q6867 , 2 GB, Windows 7,【SCP】器関ノ彷徨 -The will of a single Tale-【DEMOver.】 System Requirements
 4 GB, NVIDIA GeForce GTX 970 , Intel Core i5-4400E , 20 GB, Windows 7/8/8.1/10 (x64 x86),The Berlin Wall System Requirements
 2 GB, NVIDIA GeForce 6800 , AMD Athlon 64 3500+ , 3 GB, Windows XP/VISTA/7/8/10,Chronicles of Mystery - The Tree of Life System Requirements
 2 GB, NVIDIA GeForce 6800 , AMD Athlon 64 3500+ , 300 MB, Windows XP/VISTA/7/8/10,Redneck Kentucky and the Next Generation Chickens System Requirements
 2 GB, NVIDIA GeForce 6800 , AMD Athlon 64 3500+ , 300 MB, Windows XP/VISTA/7/8/10,Art of Murder - The Secret Files System Requirements
 1 GB, ATI FireGL T2-128 , Intel Core i5-4400E , 1 GB, Windows 7/8/10,Tiny Tanks System Requirements
512 MB,ATI FireMV 2400 PCIe,Intel Core 2 Duo Q6867,100 MB,Ubuntu 12.04/SteamOS,Dr. Pills System Requirements
 2 GB, NVIDIA GeForce 6800 , AMD Athlon 64 3500+ , 2 GB, Windows XP/VISTA/7/8/10,Art of Murder - Cards of Destiny System Requirements
 4 GB, NVIDIA GeForce 7100 / nForce 630i , Intel Pentium 4 2.00GHz , 100 MB, Windows Vista SP1+,Doctor Flow System Requirements
 1 GB, NVIDIA GeForce 7100 / nForce 630i , Intel Core 2 Duo Q6867 , 2 GB, Windows 7 or later,Sorcery Saga: Curse of the Great Curry God System Requirements
 1 GB, ATI FireGL V7350 , Intel Core 2 Duo Q6867 , 500 MB, Windows 7,Longboard Stunts and Tricks System Requirements
4 MB,NVIDIA GeForce GTX 760,Intel Core 2 Duo Q6867,4 MB,Unknown,Tabletop Playground System Requirements
 4 GB, AMD Radeon HD 6250 , Intel Core 2 Duo Q6867 , 1 GB, WindowsR 7/8/8.1/10 (32bit/64bit),Green General System Requirements
 4 GB, Intel HD 4000 , Intel Core 2 Duo Q6867 , 30 MB," Windows 7, 8, 10",Merry Glade System Requirements
 8 GB, NVIDIA GeForce GTX 550 Ti , Intel Core 2 Duo E8400 , 35 MB, Windows 7 (made with),XENOCAVE System Requirements
 4 GB, NVIDIA GeForce 510 , Intel Core 2 Duo E8400 , Unknown, Windows 10,Life Goals System Requirements
1 GB,Intel Media Accelerator 500,Intel Pentium 4 1.40GHz,400 MB,Core 4.2,May System Requirements
 8 GB, ATI FireGL T2-128 , Intel Pentium 4 4.00GHz , 6 GB, Windows 7 / Windows 8 / Windows 10  64 bit,太吾绘卷 The Scroll Of Taiwu System Requirements
 3 GB, NVIDIA GeForce GTX 460 , Intel Core i3-530 , 12 GB, Windows 10,Warlords Awakening System Requirements
 2 GB, NVIDIA GeForce 7200 GS , Intel Pentium 4 2.00GHz , 500 MB," Windows XP, 7, 8.1, 10",Bloodstained: Curse of the Moon System Requirements
 2 GB, Intel HD 4000 , Intel Core 2 Duo Q6867 , 700 MB, Windows Vista,Grandpa System Requirements
